Speaker	With	File	Text	Next line	When	Priority	Weight	Command Id	Target / Caster	Status	Items	Abilities	BattleId	Scenario Min	Scenario Max	Context Flags	Player Solo	Player Team	Enemy Solo	Enemy Team	Self	Enemy	Ally	Single	Multi	Hit	Miss	Dodge	Crit	Hp	Mp	Front Attack	Preemptive	Back Attack	Friendly Battle	Non Friendly Battle	Serious	Boss
Zidane		Intro 1	I don't feel like losing.		BattleStart																													x	x			x
Zidane		Intro 2	This is gonna be quick.		BattleStart																													x	x			x
Zidane		Intro 3	So, shall we get started?		BattleStart																													x	x			x
Zidane		Intro 4	I'm goin' all in!		BattleStart																													x	x			x
Zidane		Intro 5	I'm gonna steal a win.		BattleStart																													x	x			x
Zidane		Intro 6	Fine by me, I'll take you on!		BattleStart																													x	x			x
Zidane		Intro 7	Good timing, I was getting bored.		BattleStart																													x	x			x
Zidane		Intro 8	This should be fun!		BattleStart																													x	x			x
Zidane		Intro 9	A dance? You're on!		BattleStart																													x	x			x
Zidane		Intro 10	So, who's going first?		BattleStart												x																	x	x			x
Zidane		Intro 11	The winners the one who strikes first, yeah?		BattleStart																													x	x			x
Zidane		Intro 12	This should be entertaining.		BattleStart																													x	x			x
Zidane		Intro 13	Time to show em' what we can do!		BattleStart												x																	x	x			x
Zidane		Intro 14	Looks boring, you guys can take this one.		BattleStart												x																	x	x			x
Zidane		Intro 15	I hope you're ready.		BattleStart																													x	x			x
Zidane		Intro 16	I'm looking forward to this!		BattleStart																													x	x			x
Zidane		Intro 17	Can't be helped.		BattleStart																													x	x			x
Zidane		Intro 18	This supposed to be a challenge?		BattleStart																													x	x			x
Zidane		Intro 19	Come at us! I'm ready.		BattleStart												x																	x	x			x
Zidane		Intro 20	Ready when you are!		BattleStart																													x	x			x
Zidane		Intro 21	Perfect day for a fight!		BattleStart																													x	x			x
Zidane		Intro 22	Eh, you don't look so tough.		BattleStart																													x	x			x
Zidane		Intro 23	Aww, it's kinda cute.		BattleStart																													x	x			x
Zidane		Intro 24	A fight? For me? You shouldn't have.		BattleStart																													x	x			x
Zidane		Intro 25	That time already?		BattleStart																													x	x			x
Zidane		Intro 26	Fighting us isn't the smartest move.. just a heads up.		BattleStart												x																	x	x			x
Zidane		Intro 27	Have we fought before? Nahh.		BattleStart																													x	x			x
Zidane		Intro 28	You don't know what's about to hit you!		BattleStart																													x	x			x
Zidane		Intro 29	I'll give ya 5 seconds to run.		BattleStart																													x	x			x
Zidane		Intro 30	Time for a showdown!		BattleStart																													x	x			x
Zidane		Intro 31	Think you can take me?		BattleStart													x																x	x			x
Zidane		Intro 32	Good luck, you'll need it!		BattleStart																													x	x			x
Zidane		Intro 33	Let's do this!		BattleStart																													x	x			x
Zidane		Intro 34	This'll be easy!		BattleStart																													x	x			x
Zidane		Intro 35	No time like the present!		BattleStart																													x	x			x
Zidane		Intro 36	Which one should I take on first?		BattleStart														x															x	x			x
Zidane		Intro 37	Don't over do it.		BattleStart												x																	x	x			x
Zidane		Intro 38	Stay sharp now.		BattleStart												x																	x	x			x
